Position,class,breed_name,size,exercise,size_of_home,grooming,coat_length,sheds,lifespan,vulnerable_native_breed,town_or_country,size_of_garden
205,TERRIER,Staffordshire Bull Terrier,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
206,PASTORAL,Swedish Lapphund (Imp),Medium,Up to 1 hour per day,Small house,Once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
207,PASTORAL,Swedish Vallhund,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
208,WORKING,Tibetan Mastiff,Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Either,Large garden
209,UTILITY,Tibetan Spaniel,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
210,UTILITY,Tibetan Terrier,Small,Up to 1 hour per day,Small house,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
211,PASTORAL,Turkish Kangal Dog,Large,More than 2 hours per day,Large house,More than once a week,Short,Yes,Over 10 years,No,Country,Large garden
212,GUNDOG,Weimaraner,Large,More than 2 hours per day,Large house,Once a week,Short & long,Yes,Over 10 years,No,Either,Large garden
213,PASTORAL,Welsh Corgi (Cardigan),Small,Up to 1 hour per day,Small house,More than once a week,Short,Yes,Over 12 years,Yes,Either,Small/ medium garden
214,PASTORAL,Welsh Corgi (Pembroke),Small,Up to 1 hour per day,Small house,More than once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
215,TERRIER,Welsh Terrier,Small,Up to 1 hour per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
216,TERRIER,West Highland White Terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
217,HOUND,Whippet,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
218,PASTORAL,White Swiss Shepherd Dog (Imp),Large,More than 2 hours per day,Large house,More than once a week,Medium & long,Yes,Over 10 years,No,Either,Large garden
219,UTILITY,Xoloitzcuintle (Mex Hairless) Int (Imp),Small,Up to 1 hour per day,Small house,Once a week,Short,No,Over 10 years,No,Either,Small/ medium garden
220,UTILITY,Xoloitzcuintle (Mex Hairless) Min (Imp),Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,No,Over 10 years,No,Either,Small/ medium garden
221,UTILITY,Xoloitzcuintle (Mex Hairless) Std (Imp),Medium,Up to 1 hour per day,Small house,Once a week,Short,No,Over 10 years,No,Either,Small/ medium garden
222,TOY,Yorkshire Terrier,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Long,No,Over 12 years,No,Either,Small/ medium garden
223,HOUND,Bluetick Coonhound,Large,Up to 1 hour per day,Large house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
224,WORKING,Appenzeller Sennenhund,Large,Up to 1 hour per day,Large house,Once a week,Short,Yes,Over 12 years,No,Country,Large garden
225,HOUND,Walker Hound,Medium,More than 2 hours per day,Large House,Once a week,Short,Yes,Over 12 years,No,Country,Large garden
226,HOUND,Redbone Coonhound,Medium,More than 2 hours per day,Large House,Once a week,Short,No,Over 12 years,No,Country,Large garden
227,WORKING,Australian Kelpie,Medium,Up to 1 hour per day,Large House,Once a week,Short,No,Over 12 years,No,Country,Large garden
228,WILD,Dingo,Medium,More than 2 hours per day,Australian Bush,Never,Short,No,Over 10 years,No,Country,Game reserve
229,WILD,Dhole,Medium,More than 2 hours per day,Asian Mountains,Never,Short,No,Over 12 years,No,Country,Game reserve
230,WILD,African Hunting Dog,Large,More than 2 hours per day,African Savanna,Never,Short,No,Over 10 years,No,Country,Game reserve
